Time,Current,Voltage,Temperature
74.00001,-20.0238,3.395245,26.81973
75.00001,-20.0272,3.398552,26.81973
76.00001,-20.0629,3.400607,26.94576
77.00001,-20.0357,3.402662,26.89612
78,-19.9882,3.405318,26.85792
79.00001,-20.0306,3.407574,26.94194
80.00001,-20.0238,3.409929,26.88084
81.00001,-19.978,3.412986,26.9114
82.00001,-19.9593,3.415191,26.8923
83.00001,-20.0153,3.417246,26.78537
84.00001,-19.9712,3.419552,26.67842
85.00001,-20.0035,3.421757,26.84264
86.00002,-20.0102,3.424413,26.86174
87,-20.0357,3.426468,26.75099
88.00001,-19.9712,3.428423,26.72045
89.00001,-20.0323,3.430828,26.793
90.00001,-20.034,3.433435,26.8312
91.00001,-19.9984,3.434687,26.80447
92.00001,-19.9797,3.437444,26.78153
93.00001,-19.9916,3.439298,26.82738
94.00001,-19.9882,3.441403,26.8923
95.00002,-20.0221,3.443809,26.76246
96.00001,-19.9814,3.445313,26.88465
97.00001,-20.0035,3.448069,26.86174
98.00001,-20.0204,3.449472,26.7319
99.00001,-19.9882,3.451427,26.77009
100,-20.0136,3.453833,26.83883
101,-20.0119,3.455687,26.57149
102,-19.9899,3.45709,26.70898
103,-20.0102,3.459997,26.76246
104,-20.0561,3.461401,26.81973
105,-19.9865,3.463155,26.54095
106,-19.995,3.46546,26.7128
107,-20.0204,3.466914,26.73571
108,-20.017,3.469019,26.6135
109,-20.0086,3.471023,26.5944
110,-20.0001,3.472928,26.67079
111,-20.0374,3.474832,26.73571
112,-20.0102,3.476787,26.61734
113,-19.9984,3.478491,26.55239
114,-20.0374,3.480145,26.6326
115,-19.9933,3.481798,26.43783
116,-20.0238,3.483502,26.61734
117,-20.0374,3.485607,26.76628
118,-20.051,3.487311,26.55239
119,-20.0306,3.488865,26.46837
120,-20.0374,3.49067,26.54858
121,-20.0391,3.492424,26.54095
122,-20.0255,3.493376,26.54095
123,-19.9593,3.495781,26.58677
124,-20.0578,3.497034,26.51038
125,-20.0493,3.498638,26.73571
126,-20.0221,3.500743,26.40727
127,-20.0086,3.501996,26.56767
128,-20.0069,3.503951,26.53713
129,-20.0255,3.505504,26.45693
130,-20.0069,3.506657,26.6135
131,-20.0578,3.508612,26.54476
132,-19.9916,3.510115,26.39201
133,-19.9984,3.511669,26.47984
134,-19.9899,3.513273,26.51803
135,-19.9899,3.514726,26.54858
136,-19.9967,3.51638,26.45311
137,-19.9322,3.517984,26.43018
138,-20.0306,3.519437,26.55623
139,-20.0629,3.520991,26.48747
140,-20.0102,3.523096,26.30799
141,-20.0187,3.523998,26.46837
142,-20.0052,3.525351,26.59824
143,-19.9933,3.527005,26.47219
144,-20.0357,3.528759,26.48747
145,-20.0578,3.530012,26.54858
146,-20.0272,3.531516,26.41492
147,-19.9865,3.532718,26.22013
148,-20.0493,3.534422,26.47219
149,-20.0357,3.535375,26.45311
150,-20.017,3.537079,26.36144
151,-20.0595,3.538933,26.51038
152,-20.0069,3.540086,26.49128
153,-20.0374,3.541489,26.44546
154,-19.995,3.542792,26.44546
155,-20.017,3.544296,26.44927
156,-20.0815,3.545499,26.42636
157,-19.9627,3.546902,26.35
158,-20.0306,3.547854,26.55239
159,-20.0408,3.549658,26.35381
160,-20.0238,3.550761,26.32706
161,-20.0272,3.552014,26.46074
162,-20.0272,3.553918,26.50657
163,-19.9814,3.555172,26.26598
164,-20.0187,3.556424,26.33472
165,-20.0001,3.557176,26.44546
166,-20.0289,3.558529,26.49894
167,-19.9984,3.559882,26.40345
168,-19.9899,3.561236,26.3309
169,-20.0018,3.562138,26.2507
170,-20.0306,3.563691,26.32706
171,-20.0001,3.565195,26.35381
172,-20.0459,3.566298,26.33853
173,-20.034,3.567701,26.3691
174,-19.9899,3.569004,26.2125
175,-20.0136,3.570357,26.33472
176,-20.0001,3.57136,26.35
177,-20.0086,3.572412,26.29271
178,-19.9661,3.573715,26.20869
179,-20.0221,3.574968,26.39201
180,-20.0527,3.576271,26.2507
181,-19.9797,3.577574,26.17812
182,-19.9746,3.579028,26.38054
183,-20.0747,3.579629,26.30415
184,-19.9899,3.581082,26.32325
185,-19.9339,3.582486,26.26979
186,-20.073,3.583237,26.50657
187,-20.017,3.58419,26.25833
188,-19.9661,3.585844,26.30034
189,-19.978,3.586044,26.38054
190,-20.0102,3.588199,26.22778
191,-20.0153,3.589051,26.20487
192,-20.0204,3.590204,26.1934
193,-20.0645,3.591507,26.23541
194,-20.0493,3.592159,26.18577
195,-20.0102,3.593662,26.09029
196,-20.0001,3.594264,26.20487
197,-20.0527,3.595667,26.41492
198,-19.9865,3.59687,26.18194
199,-19.9593,3.598073,26.23541
200,-20.0119,3.598373,26.30415
201,-20.0018,3.599626,26.28889
202,-20.0238,3.600929,26.1132
203,-20.0119,3.601831,26.35381
204,-20.051,3.602984,26.29652
205,-20.0764,3.603987,26.12467
206,-19.9933,3.60544,26.20487
207,-20.0289,3.606392,26.28889
208,-19.9814,3.607194,26.23923
209,-20.0459,3.608497,26.24688
210,-20.0374,3.609399,26.25833
211,-19.9848,3.610402,26.2125
212,-19.9746,3.611304,26.05209
213,-19.9899,3.612206,26.20869
214,-20.073,3.613709,26.13993
215,-20.0204,3.614211,26.29271
216,-20.0153,3.615263,26.16286
217,-20.0544,3.616416,26.34234
218,-20.0391,3.617418,26.1934
219,-19.9967,3.61822,26.10557
220,-19.9899,3.619122,26.30415
221,-20.0136,3.620325,26.17049
222,-20.0204,3.620976,26.04065
223,-19.978,3.621728,26.12083
224,-20.0476,3.623182,26.33853
225,-19.9593,3.624334,26.1934
226,-19.978,3.624485,26.07882
227,-20.0136,3.625838,26.12083
228,-20.0001,3.626439,26.33853
229,-20.0052,3.627141,26.13993
230,-19.9967,3.628344,26.27361
231,-20.0187,3.629296,26.23541
232,-19.9984,3.630098,26.20103
233,-20.0119,3.6308,26.08647
234,-20.0119,3.631451,26.27742
235,-19.9967,3.632855,26.12848
236,-19.9695,3.633105,26.20103
237,-19.9797,3.634258,26.2316
238,-20.0459,3.63536,26.2316
239,-20.017,3.635561,26.06738
240,-20.0391,3.636613,26.05591
241,-20.0323,3.637816,26.2125
242,-20.0425,3.638267,26.1934
243,-19.9695,3.638568,26.05591
244,-20.0476,3.639169,26.20103
245,-20.0713,3.640322,26.13611
246,-20.0018,3.640823,25.97954
247,-19.9576,3.641976,26.15521
248,-20.0391,3.642678,26.21632
249,-20.0408,3.643029,26.27361
250,-20.0153,3.64368,26.06738
251,-20.0408,3.644332,26.10176
252,-20.0119,3.645133,26.17812
253,-19.9712,3.645835,26.14376
254,-19.961,3.646537,26.09792
255,-20.0221,3.647589,26.14758
256,-20.0323,3.64794,26.1132
257,-19.9916,3.64814,26.18959
258,-19.978,3.649093,26.23923
259,-20.0849,3.650095,26.11701
260,-20.0052,3.649844,25.95663
261,-19.9695,3.650897,26.09029
262,-20.0425,3.650797,26.26979
263,-20.0425,3.651398,26.15521
264,-19.9746,3.6521,26.17431
265,-20.0679,3.653052,26.22013
266,-20.0629,3.653553,26.1323
267,-20.0561,3.654054,26.04446
268,-20.0561,3.654305,26.12083
269,-20.0493,3.654806,26.17431
270,-20.0459,3.654907,26.04446
271,-19.9831,3.655708,26.07501
272,-20.0323,3.65626,26.17812
273,-20.0408,3.65641,26.24304
274,-20.0442,3.656861,26.15521
275,-20.0289,3.657563,26.17812
276,-20.1002,3.658164,26.21632
277,-19.9984,3.657913,26.15902
278,-20.0018,3.658866,26.09792
279,-19.978,3.659367,26.05591
280,-20.0476,3.659668,26.20869
281,-19.9865,3.659968,26.15902
282,-20.0493,3.660269,26.22013
283,-19.9746,3.66067,26.18194
284,-19.9712,3.660971,26.22778
285,-20.0476,3.661672,26.09792
286,-20.0357,3.662073,26.17812
287,-20.0578,3.662224,25.96426
288,-20.0102,3.662474,25.9337
289,-19.9814,3.662825,26.07882
290,-20.0272,3.663727,26.02918
291,-19.9729,3.663326,26.09792
292,-20.0136,3.663827,26.20103
293,-20.0102,3.664479,26.2125
294,-20.0119,3.66468,26.1934
295,-20.0001,3.66503,25.99099
296,-20.0119,3.665131,26.13993
297,-20.0136,3.665682,26.12848
298,-20.034,3.665983,26.00246
299,-19.9746,3.666033,26.07501
300,-20.0289,3.666434,26.16668
301,-20.0086,3.666784,26.05209
302,-19.9407,3.666784,26.10939
303,-19.9967,3.667386,26.27361
304,-20.034,3.667787,25.99864
305,-20.0069,3.667386,26.06356
306,-20.0001,3.668238,26.09029
307,-19.9644,3.668238,26.25833
308,-20.0764,3.668689,26.12848
309,-20.0255,3.668889,26.17049
310,-20.0595,3.66939,26.31943
311,-20.0459,3.66934,26.29652
312,-19.9678,3.669892,25.9757
313,-20.0578,3.669992,26.27361
314,-20.0255,3.670293,26.19722
315,-20.0442,3.670694,26.07501
316,-20.0306,3.670694,26.15521
317,-20.0086,3.670994,26.17431
318,-20.034,3.670744,26.10939
319,-19.9899,3.671546,26.08647
320,-19.9967,3.671796,26.18194
321,-20.0153,3.672298,26.09792
322,-19.9729,3.671846,26.04828
323,-20.017,3.672498,26.15521
324,-19.995,3.672799,26.16668
325,-20.0357,3.672648,26.15521
326,-19.978,3.6735,26.13993
327,-19.9916,3.673099,26.17049
328,-20.0476,3.67355,26.14376
329,-19.9492,3.673801,26.12083
330,-19.9746,3.673701,26.20487
331,-20.0272,3.674352,26.24688
332,-20.0544,3.674252,26.033
333,-20.0018,3.674853,26.04828
334,-20.0544,3.675254,26.09792
335,-20.0221,3.675054,26.1132
336,-19.9746,3.675304,26.12467
337,-19.9797,3.675806,26.07501
338,-20.0357,3.675906,26.2316
339,-19.9916,3.675756,26.11701
340,-19.9848,3.676558,26.09029
341,-20.0425,3.676658,26.0941
342,-19.9746,3.676758,26.16286
343,-19.9509,3.676808,26.14376
344,-20.017,3.676908,26.1132
345,-20.0595,3.677209,26.21632
346,-19.9916,3.67751,25.96808
347,-20.0187,3.67761,26.12848
348,-19.995,3.677861,26.2316
349,-20.0119,3.678061,26.17431
350,-19.9797,3.678512,26.0941
351,-20.0255,3.678512,26.27742
352,-20.073,3.678562,26.2507
353,-20.0255,3.678813,26.23923
354,-20.0187,3.679164,26.1934
355,-20.0679,3.679364,26.26598
356,-20.0086,3.679314,26.22395
357,-20.0018,3.679815,26.25833
358,-20.0374,3.680717,26.25451
359,-19.9882,3.680216,26.26979
360,-20.0018,3.680667,25.97189
361,-19.9933,3.680367,26.26598
362,-20.034,3.680817,26.27361
363,-20.0306,3.681218,25.99864
364,-20.0408,3.681519,26.07501
365,-20.0255,3.68187,26.22395
366,-20.0323,3.68182,26.16286
367,-20.0018,3.682071,25.99099
368,-20.0476,3.682171,26.07119
369,-20.0578,3.682772,26.1323
370,-19.9967,3.682371,26.15139
371,-19.9576,3.682972,26.12848
372,-20.0527,3.683273,26.17049
373,-20.0187,3.683323,26.20869
374,-19.9644,3.683724,26.18959
375,-19.9916,3.683624,26.20103
376,-19.9661,3.683825,26.30034
377,-20.0102,3.683925,26.15139
378,-19.9967,3.684176,26.30799
379,-20.0934,3.684526,26.23541
380,-20.0119,3.684877,26.02537
381,-19.995,3.684827,26.17431
382,-20.017,3.685378,26.17049
383,-20.0119,3.685228,26.17431
384,-20.0391,3.685077,25.98336
385,-20.0629,3.68608,26.20869
386,-20.0018,3.68613,26.3691
387,-19.9984,3.68593,26.15521
388,-19.978,3.686531,26.26214
389,-20.0493,3.686781,26.36144
390,-20.0357,3.686832,26.27742
391,-19.9271,3.687233,26.09029
392,-20.0119,3.687182,26.25451
393,-20.0069,3.687734,26.06356
394,-20.0374,3.687082,26.04446
395,-20.0001,3.687533,26.11701
396,-20.0001,3.688185,26.24304
397,-20.0119,3.688836,26.14758
398,-19.961,3.688486,26.12848
399,-20.0018,3.689137,26.30415
400,-20.0035,3.688836,26.32706
401,-20.0001,3.689037,26.29652
402,-19.9899,3.689438,26.2125
403,-20.0018,3.689488,26.29652
404,-19.9814,3.689889,26.2507
405,-19.9814,3.689989,26.28889
406,-20.0052,3.689989,26.23541
407,-20.09,3.69034,26.30415
408,-19.9678,3.69059,26.14758
409,-19.9661,3.690791,26.38054
410,-19.9865,3.691192,26.30034
411,-19.9984,3.691493,26.2125
412,-19.9933,3.691493,26.25451
413,-19.9882,3.691743,26.25451
414,-20.0374,3.692144,26.34234
415,-20.0747,3.692194,26.23541
416,-20.0238,3.692545,26.27742
417,-20.0052,3.692545,26.34616
418,-20.0679,3.692295,26.29652
419,-20.0238,3.693147,26.26598
420,-19.9814,3.692846,26.35381
421,-19.9814,3.693297,26.3691
422,-19.9933,3.693598,26.16286
423,-20.0187,3.693748,26.14758
424,-20.0544,3.694349,26.37672
425,-20.0069,3.6945,26.16286
426,-20.017,3.69445,26.19722
427,-20.0578,3.69485,26.35763
428,-20.0221,3.695252,26.13993
429,-20.0069,3.695201,26.30415
430,-20.0391,3.695753,26.25451
431,-20.0119,3.695502,26.35
432,-20.0306,3.695653,26.14758
433,-19.995,3.695653,26.30415
434,-20.0289,3.696504,26.34616
435,-20.0425,3.696404,26.30415
436,-19.995,3.696755,26.34234
437,-20.0204,3.696905,26.39201
438,-20.0289,3.696905,26.32706
439,-19.9882,3.697206,26.12083
440,-19.9899,3.697457,26.15902
441,-20.0238,3.697908,26.30034
442,-20.0272,3.698359,26.2316
443,-19.9899,3.698359,26.18194
444,-19.9984,3.698359,26.24688
445,-20.0187,3.698609,26.22395
446,-20.0442,3.698509,26.12467
447,-20.0136,3.699161,26.2507
448,-20.0374,3.699211,26.3309
449,-20.0544,3.699712,26.30415
450,-19.9984,3.700013,26.12848
451,-20.0629,3.700063,26.35763
452,-20.0255,3.700364,26.3118
453,-20.0018,3.700664,26.22778
454,-20.0629,3.701065,26.3691
455,-20.0204,3.700915,26.35763
456,-19.9865,3.701115,26.28505
457,-20.0238,3.701316,26.26598
458,-20.0069,3.701917,26.23923
459,-19.9916,3.701817,26.23541
460,-20.0357,3.701717,26.23923
461,-19.9797,3.702519,26.47984
462,-20.0289,3.702719,26.39964
463,-19.9882,3.70317,26.22395
464,-20.0238,3.703371,26.24688
465,-20.0086,3.703371,26.35
466,-19.9882,3.703321,26.2316
467,-19.9644,3.703621,26.27742
468,-20.0102,3.703922,26.18959
469,-20.017,3.704022,26.34234
470,-19.9576,3.704974,26.2507
471,-19.9933,3.704774,26.29652
472,-19.9593,3.704624,26.40727
473,-20.0289,3.705225,26.24688
474,-20.0069,3.705325,26.25451
475,-20.0035,3.705676,26.39582
476,-19.9916,3.705676,26.32706
477,-19.9882,3.705776,26.1934
478,-20.0035,3.706779,26.24688
479,-19.9712,3.706829,26.41873
480,-20.0289,3.706678,26.3118
481,-19.9899,3.70718,26.15139
482,-20.0102,3.70748,26.45693
483,-20.0391,3.70738,26.16668
484,-19.9678,3.707681,26.19722
485,-20.0408,3.707731,26.22013
486,-20.0069,3.708432,26.37291
487,-19.9899,3.708483,26.26979
488,-20.017,3.708934,26.20487
489,-20.0306,3.709084,26.36526
490,-19.9559,3.709385,26.27742
491,-19.9967,3.709184,26.27361
492,-20.0323,3.709936,26.35381
493,-20.0696,3.709986,26.32325
494,-20.0696,3.710287,26.25451
495,-19.978,3.710387,26.42255
496,-20.0425,3.710638,26.29271
497,-20.0476,3.710989,26.26598
498,-20.0035,3.71134,26.18959
499,-19.9763,3.71149,26.27742
500,-20.034,3.711791,26.35763
501,-19.9916,3.711841,26.2507
502,-19.9712,3.711891,26.41873
503,-20.0544,3.712542,26.27742
504,-20.0119,3.712793,26.12467
505,-20.0255,3.713044,26.2316
506,-20.0035,3.713094,26.17431
507,-19.9967,3.713495,26.28505
508,-20.0221,3.713244,26.32706
509,-20.0391,3.713745,26.34616
510,-20.0153,3.714196,26.44927
511,-19.9797,3.714447,26.21632
512,-20.017,3.714848,26.39201
513,-19.9916,3.714998,26.38435
514,-20.034,3.714998,26.30799
515,-20.0374,3.715299,26.29271
516,-19.9865,3.715048,26.32325
517,-20.0238,3.71585,26.43402
518,-19.9763,3.716101,26.19722
519,-19.9984,3.716552,26.25451
520,-20.0408,3.716401,26.32325
521,-20.0391,3.717053,26.36144
522,-20.0035,3.717253,26.38054
523,-20.0238,3.717604,26.4111
524,-19.9576,3.717604,26.33472
525,-20.0102,3.718105,26.38817
526,-19.9627,3.718406,26.42255
527,-19.9373,3.718356,26.41492
528,-20.0493,3.718456,26.49128
529,-20.0086,3.719058,26.38054
530,-20.0153,3.719258,26.36526
531,-20.0578,3.719659,26.36526
532,-20.0136,3.719659,26.16286
533,-20.0476,3.719358,26.38817
534,-20.034,3.720712,26.39582
535,-19.9814,3.720411,26.35381
536,-19.9627,3.72021,26.28124
537,-20.0035,3.721113,26.39201
538,-20.0035,3.721213,26.3309
539,-19.9899,3.721163,26.39582
540,-20.0187,3.722115,26.33472
541,-20.0408,3.722165,26.3309
542,-19.9916,3.722165,26.36144
543,-19.9661,3.722766,26.3691
544,-20.051,3.722917,26.52185
545,-19.9848,3.723418,26.45311
546,-19.9644,3.723268,26.24304
547,-20.0086,3.723167,26.39964
548,-20.0425,3.723919,26.41492
549,-19.9763,3.724069,26.20869
550,-19.9746,3.72437,26.26979
551,-19.995,3.724671,26.38817
552,-20.0153,3.724972,26.24304
553,-20.0204,3.725022,26.39964
554,-20.0425,3.725373,26.39582
555,-20.0764,3.725423,26.37291
556,-20.0391,3.725874,26.35381
557,-19.9661,3.726375,26.3118
558,-20.0221,3.726525,26.45693
559,-20.017,3.726525,26.49512
560,-20.0187,3.727177,26.39201
561,-20.0391,3.727327,26.36526
562,-20.0052,3.727477,26.35763
563,-19.9644,3.727477,26.18959
564,-19.9916,3.728129,26.43018
565,-20.0493,3.72838,26.39582
566,-20.0018,3.72863,26.35
567,-19.9424,3.728931,26.14376
568,-20.0306,3.729031,26.32325
569,-20.051,3.729282,26.33472
570,-19.9797,3.729532,26.18577
571,-19.995,3.730184,26.46837
572,-20.0866,3.730184,26.38435
573,-20.0323,3.730434,26.3691
574,-19.961,3.730635,26.26979
575,-20.0374,3.731136,26.45311
576,-20.0459,3.731236,26.35
577,-19.9831,3.731537,26.36144
578,-20.0476,3.731637,26.39964
579,-20.0238,3.732289,26.43018
580,-20.0102,3.73259,26.26214
581,-20.0272,3.73269,26.25451
582,-19.9593,3.73289,26.39964
583,-20.0153,3.733141,26.36526
584,-20.0238,3.733241,26.24304
585,-20.0238,3.733892,26.37291
586,-19.9882,3.733943,26.36526
587,-19.9882,3.734294,26.30799
588,-20.017,3.734845,26.22778
589,-20.0323,3.734795,26.41492
590,-20.0187,3.734945,26.29271
591,-19.9712,3.734995,26.38817
592,-19.9712,3.735396,26.51803
593,-20.0187,3.735847,26.40727
594,-20.0035,3.736248,26.4111
595,-20.0391,3.736248,26.39582
596,-20.0069,3.73715,26.30034
597,-19.9933,3.736749,26.32706
598,-19.995,3.73705,26.23541
599,-19.9526,3.737952,26.49894
600,-20.0069,3.737752,26.41873
601,-19.978,3.738102,26.25451
602,-20.0306,3.738604,26.51803
603,-20.0187,3.738253,26.45311
604,-20.0289,3.738654,26.31562
605,-19.9526,3.739055,26.38435
606,-20.0119,3.739506,26.39582
607,-20.0119,3.739957,26.39201
608,-20.0035,3.739506,26.30415
609,-20.0086,3.739957,26.40345
610,-20.0323,3.740258,26.5944
611,-20.0204,3.740709,26.20103
612,-19.9492,3.74146,26.39201
613,-20.0357,3.74136,26.3691
614,-20.0289,3.741911,26.26214
615,-19.9814,3.741861,26.34234
616,-20.0221,3.742262,26.43402
617,-20.0391,3.742312,26.39201
618,-20.0425,3.742764,26.34234
619,-20.0544,3.743315,26.44546
620,-20.0425,3.743315,26.34616
621,-20.0255,3.743615,26.42636
622,-19.9814,3.743766,26.38054
623,-20.017,3.743766,26.32325
624,-19.9797,3.744217,26.35381
625,-19.9661,3.744768,26.17431
626,-20.0221,3.744618,26.51803
627,-20.034,3.745319,26.44546
628,-20.0696,3.745319,26.35381
629,-20.0187,3.746172,26.30034
630,-20.0374,3.746172,26.44165
631,-20.0476,3.746573,26.29652
632,-20.0136,3.746272,26.25451
633,-20.051,3.746973,26.43783
634,-20.0255,3.747474,26.39964
635,-20.0476,3.747675,26.3691
636,-20.0069,3.747675,26.48365
637,-20.0102,3.747876,26.42255
638,-20.0764,3.748477,26.45311
639,-19.9559,3.748627,26.24304
640,-19.9492,3.748778,26.34234
641,-20.0493,3.749028,26.38435
642,-19.9763,3.749529,26.34616
643,-19.9678,3.750031,26.38435
644,-20.0662,3.749479,26.55623
645,-19.995,3.750281,26.31562
646,-20.0204,3.750382,26.26979
647,-20.0035,3.750632,26.2507
648,-20.0391,3.750933,26.24304
649,-20.0255,3.751033,26.26598
650,-19.9848,3.751584,26.32706
651,-20.0069,3.752035,26.39582
652,-20.0289,3.751985,26.34234
653,-19.9882,3.752436,26.2507
654,-20.034,3.752787,26.52948
655,-20.0798,3.753038,26.3691
656,-20.0459,3.753188,26.28124
657,-19.9848,3.753539,26.25833
658,-20.0544,3.75409,26.45311
659,-20.0289,3.75399,26.26598
660,-20.0289,3.754341,26.28124
661,-20.0102,3.754892,26.40345
662,-20.0069,3.755393,26.2125
663,-19.9831,3.754642,26.17049
664,-20.0119,3.755493,26.39582
665,-20.0052,3.755544,26.45693
666,-19.9984,3.755844,26.37291
667,-19.978,3.756696,26.33853
668,-19.9933,3.756596,26.43402
669,-19.9763,3.756546,26.28889
670,-19.9882,3.757248,26.24304
671,-20.0035,3.757298,26.34234
672,-20.0595,3.757749,26.4111
673,-19.9407,3.757849,26.41873
674,-19.9797,3.75825,26.32325
675,-20.0391,3.758451,26.46456
676,-20.0102,3.758601,26.30034
677,-20.0052,3.759352,26.28889
678,-20.0459,3.759202,26.3691
679,-19.9899,3.759754,26.32706
680,-20.0069,3.760004,26.30799
681,-20.0255,3.760455,26.35381
682,-20.0408,3.760505,26.30415
683,-19.961,3.760606,26.34616
684,-20.0102,3.761057,26.27361
685,-20.0612,3.761006,26.45693
686,-19.9814,3.762059,26.45311
687,-19.9509,3.761859,26.31562
688,-19.9576,3.762009,26.48365
689,-20.0204,3.76251,26.52566
690,-20.0204,3.76246,26.15521
691,-20.0086,3.763212,26.33853
692,-19.9984,3.763412,26.37672
693,-19.9882,3.763362,26.26979
694,-19.9899,3.763763,26.29271
695,-19.9678,3.763763,26.39582
696,-20.0102,3.764214,26.45693
697,-20.0069,3.764715,26.30034
698,-20.0153,3.765266,26.38817
699,-19.9848,3.765066,26.43783
700,-20.0052,3.765367,26.36526
701,-19.9916,3.765868,26.37672
702,-20.0204,3.765968,26.4111
703,-20.0086,3.76657,26.35763
704,-19.9729,3.76657,26.20103
705,-19.9746,3.767171,26.35
706,-20.0323,3.767472,26.33853
707,-20.0289,3.767522,26.23541
708,-20.0238,3.767522,26.30415
709,-20.0645,3.768073,26.25451
710,-20.0119,3.768274,26.32706
711,-19.9882,3.768274,26.35
712,-20.0323,3.769075,26.33853
713,-20.0306,3.768875,26.44927
714,-20.034,3.769376,26.28124
715,-20.0272,3.769577,26.15521
716,-19.9746,3.769928,26.40727
717,-20.0476,3.770078,26.36526
718,-19.9933,3.770479,26.33853
719,-20.0306,3.77103,26.3309
720,-20.0306,3.77103,26.31562
721,-20.0662,3.771531,26.26214
722,-20.0476,3.771531,26.2316
723,-20.0272,3.772183,26.33472
724,-20.0459,3.772133,26.41492
725,-20.0187,3.772333,26.24304
726,-19.9967,3.772684,26.31562
727,-20.0272,3.773235,26.31943
728,-20.0153,3.773035,26.29652
729,-20.0136,3.773586,26.3118
730,-20.0069,3.773486,26.37291
731,-20.034,3.773937,26.36526
732,-20.0102,3.774588,26.2125
733,-20.0408,3.774588,26.41492
734,-20.1104,3.774989,26.39201
735,-19.9441,3.77509,26.10557
736,-20.0221,3.77534,26.26979
737,-20.0238,3.775992,26.43402
738,-20.0069,3.776092,26.17431
739,-19.978,3.776593,26.39964
740,-20.0612,3.776743,26.39582
741,-20.0629,3.776894,26.37672
742,-19.9831,3.776894,26.3691
743,-20.0289,3.777345,26.30034
744,-20.0629,3.777546,26.43783
745,-20.0612,3.777746,26.43783
746,-19.9797,3.778448,26.3118
747,-20.0153,3.778548,26.32706
748,-20.0781,3.778648,26.49894
749,-20.0052,3.779099,26.27742
750,-20.0459,3.778798,26.39201
751,-20.051,3.779701,26.51422
752,-20.0629,3.779901,26.09792
753,-20.034,3.779751,26.33472
754,-20.0069,3.780552,26.44927
755,-20.0069,3.781004,26.37291
756,-20.0136,3.781254,26.26598
757,-20.0086,3.781104,26.49128
758,-20.0069,3.781755,26.38435
759,-19.9627,3.781806,26.29271
760,-19.9695,3.782106,26.38817
761,-20.0136,3.782156,26.47603
762,-20.0629,3.782858,26.26598
763,-19.9899,3.783008,26.20103
764,-20.0086,3.783008,26.39201
765,-20.0052,3.78351,26.32706
